"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: bufferSize","Param: charset","Param: sizeInMb"
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"3,233941","0,977413","s/op",32768,UTF-8,100
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"12,971264","0,151502","s/op",32768,UTF-8,500
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"25,923901","0,184469","s/op",32768,UTF-8,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,297327","0,025703","s/op",32768,ISO-8859-1,10
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"3,001093","0,083937","s/op",32768,ISO-8859-1,100
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"14,481959","0,249541","s/op",32768,ISO-8859-1,500
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"28,785333","0,208265","s/op",32768,ISO-8859-1,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,325007","0,018546","s/op",32768,US-ASCII,10
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"3,105719","0,022646","s/op",32768,US-ASCII,100
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"15,490004","0,099483","s/op",32768,US-ASCII,500
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"30,897711","0,092907","s/op",32768,US-ASCII,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,516650","0,001605","s/op",65536,UTF-8,10
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"3,859183","0,160690","s/op",65536,UTF-8,100
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"18,469985","0,670834","s/op",65536,UTF-8,500
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"36,926830","1,243461","s/op",65536,UTF-8,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,299529","0,010883","s/op",65536,ISO-8859-1,10
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"2,896182","0,012067","s/op",65536,ISO-8859-1,100
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"14,452411","0,086537","s/op",65536,ISO-8859-1,500
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"28,848881","0,245980","s/op",65536,ISO-8859-1,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,329215","0,039259","s/op",65536,US-ASCII,10
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"3,113010","0,035108","s/op",65536,US-ASCII,100
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"15,576787","0,157305","s/op",65536,US-ASCII,500
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"31,086861","0,322501","s/op",65536,US-ASCII,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,519300","0,037018","s/op",131072,UTF-8,10
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"3,843041","0,087376","s/op",131072,UTF-8,100
